invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-14698400009,2018-09-27,5034,LIQUOR TOBACCO & GROCERIES,18 N MONROE AVE,MASON CITY,50401,POINT(-93.208614 43.152301),17,CERRO GORDO,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-33212200026,2021-01-05,5691,LOGAN AVE CONVENIENCE STORE / WATERLOO,735 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337744 42.510453),7,BLACK HAWK,1082100.0,IMPORTED CORDIALS & LIQUEURS,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-24366400024,2020-01-06,5405,KUM & GO #524/ CORALVILLE,2600 HOLIDAY RD,CORALVILLE,52241.0,POINT(-91.607454 41.700517),52,JOHNSON,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-36208900012,2021-04-28,3521,AMERISTAR CASINO / COUNCIL BLUFFS,2200 RIVER ROAD,COUNCIL BLUFFS,51501.0,POINT(-95.909384 41.242291),78,POTTAWATTAMIE,1700000.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,522,MAKERS MARK W/HOLIDAY ORNAMENT,6,750,17.5,26.25,24,630.0,18.0,4.75
INV-23456500001,2019-11-25,4001,WAL-MART 1787 / CARROLL,2014 KITTY HAWK AVE,CARROLL,51401.0,POINT(-94.893501 42.081312),14,CARROLL,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,1400,CROWN ROYAL W/2 GLASSES,6,750,15.07,22.61,24,542.64,18.0,4.75
INV-23187200023,2019-11-12,5153,OAK STREET STATION LLC,2403 US HWY 18,INWOOD,51240,,60,LYON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259.0,HEAVEN HILL BRANDS,2229,CHRISTIAN BROS HOLIDAY NOG,12,750,4.47,6.71,24,161.04,18.0,4.75
INV-27075900015,2020-05-07,4677,COSTCO WHOLESALE #1111 / CORALVILLE,2900 HEARTLAND DR,CORALVILLE,52241.0,POINT(-91.614941 41.698028),52,JOHNSON,1012300.0,SINGLE MALT SCOTCH,240.0,WILLIAM GRANT & SONS INC,4356,BALVENIE 12YR DOUBLEWOOD,12,750,34.0,51.0,24,1224.0,18.0,4.75
INV-35898700001,2021-04-16,4057,TEQUILA'S LIQUOR STORE,1434 DES MOINES ST STE 5,DES MOINES,50316.0,POINT(-93.59704 41.594713),77,POLK,1012200.0,SCOTCH WHISKIES,260.0,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-24008300013,2019-12-18,4806,GIRI'S LIQUOR STORE / WEST LIBERTY,"1006, N COLUMBUS ST",WEST LIBERTY,52776.0,POINT(-91.260581 41.578585),70,MUSCATINE,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-40265800004,2021-09-21,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158.0,POINT(-92.908013 42.050021),64,MARSHALL,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-33650200002,2021-01-21,3494,SAM'S CLUB 6514 / WATERLOO,210 EAST TOWER PARK DR,WATERLOO,50702.0,POINT(-92.353103 42.456374),7,BLACK HAWK,1012200.0,SCOTCH WHISKIES,260.0,DIAGEO AMERICAS,4626,BUCHANAN DELUXE 12YR,12,750,20.99,31.49,24,755.76,18.0,4.75
INV-20166200067,2019-06-24,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT(-90.548919 41.556781),82,SCOTT,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-18083000006,2019-03-12,5562,CASEY'S GENERAL STORE #2553 / REDFIELD,425 2ND ST,REDFIELD,50233,POINT(-94.196222 41.584046),25,DALLAS,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18.0,4.75
INV-35134600003,2021-03-18,5102,WILKIE LIQUORS,724 1ST  ST  SE,MOUNT VERNON,52314.0,POINT(-91.410401 41.918328),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-16750900050,2019-01-04,5493,SWILS,200 E OAK ST,RED OAK,51566.0,POINT(-95.230032 41.016691),69,MONTGOMERY,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18.0,4.75
INV-20526700043,2019-07-10,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804.0,,82,SCOTT,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18.0,4.75
INV-18477800012,2019-04-01,5583,CASEY'S GENERAL STORE #2498 / WAPELLO,710 HWY 61 N,WAPELLO,52653,POINT(-91.195863 41.185676),58,LOUISA,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18.0,4.75
INV-34698500017,2021-03-02,3705,LIQUOR LOCKER,507 1ST AVE #100,ROCK RAPIDS,51246.0,,60,LYON,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-30145300006,2020-09-11,2130,SYCAMORE CONVENIENCE,617 SYCAMORE,WATERLOO,50703.0,POINT(-92.335358 42.497854),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,243.12,18.0,4.75
INV-19725100058,2019-05-31,3830,WAL-MART 1435 / CRESTON,806 LAUREL ST,CRESTON,50801,POINT(-94.372786 41.047714),88,UNION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,300,7.35,11.03,60,661.8,18.0,4.75
INV-14858000005,2018-10-05,2553,HY-VEE FOOD STORE / CRESTON,600 SHELDON,CRESTON,50801,POINT(-94.372552 41.051462),88,UNION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-15327700010,2018-10-29,2569,HY-VEE FOOD STORE #2 / CEDAR RAPIDS,279 COLLINS ROAD NE,CEDAR RAPIDS,52402.0,POINT(-91.630677 42.027805),57,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-58121200001,2023-05-04,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.6132860339999 41.6058349990001),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-13680100015,2018-08-07,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125.0,,91,WARREN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-52446200021,2022-10-26,3524,SAM'S CLUB 6568 / AMES,305 AIRPORT RD,AMES,50010,POINT(-93.614375 42.001124),,STORY,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-59419300002,2023-06-14,3949,WAL-MART 0751 / PELLA,1650 WASHINGTON ST,PELLA,50219.0,POINT(-92.933577976 41.412726008),,MARION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-54237600041,2022-12-21,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT(-95.82664 41.24351),,POTTAWATTAMIE,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-56779800011,2023-03-17,5236,"GIGGLE JUICE LIQUOR STATION, LLC",600 W. MAIN ST.,ANAMOSA,52205,POINT(-91.29085 42.10821),,JONES,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-55100600026,2023-01-19,3385,SAM'S CLUB 8162 / CEDAR RAPIDS,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT(-91.6796899 42.0318188),,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-35970800016,2021-04-20,4879,SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,4218 MORNINGSIDE AVE,SIOUX CITY,51106.0,POINT(-96.352851 42.47063),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,48,576.0,18.0,4.75
INV-52273200063,2022-10-20,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,,,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-26107500006,2020-03-25,3656,TARGET STORE T-1767 / ANKENY,2135 SE DELAWARE AVE,ANKENY,50021.0,POINT(-93.581201 41.708563),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-43269700011,2021-12-24,5964,CASEY'S GENERAL STORE #3032 / CHARITON,335 N MAIN ST,CHARITON,50049.0,POINT(-93.308367 41.017872),59,LUCAS,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-33163100011,2020-12-31,5195,CASEY'S GENERAL STORE #3203 / COUNCI,"1928, SHERWOOD DR",COUNCIL BLUFFS,51530.0,POINT(-95.811475 41.278661),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-37699800009,2021-06-22,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621824 41.705188),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-31667300002,2020-11-04,4098,WAL-MART 1475 / WASHINGTON,2485 HWY 92,WASHINGTON,52353.0,POINT(-91.660194 41.296202),92,WASHINGTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-32374700013,2020-12-02,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010.0,,85,STORY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-57405700001,2023-04-11,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125.0,POINT(-93.555810989 41.373346989),,WARREN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-29024700095,2020-07-28,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-41965200074,2021-11-12,2644,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501.0,POINT(-94.177165 42.508344),94,WEBSTER,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-33230600002,2021-01-05,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613.0,POINT(-92.435236 42.512789),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-38931500166,2021-08-04,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021.0,,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-26252800147,2020-04-01,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503.0,POINT(-95.836515 41.270824),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-15061000074,2018-10-15,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT(-95.825137 41.242732),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-40140500009,2021-09-16,2571,HY-VEE FOOD STORE #2 / WATERLOO,2181 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337583 42.530476),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-54291200105,2022-12-22,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT(-96.34718 42.44756),,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-54451200075,2022-12-28,2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT(-91.66913 42.0348),,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-39285000023,2021-08-17,2650,HY-VEE WINE AND SPIRITS / HARLAN,1808 23RD ST,HARLAN,51537.0,POINT(-95.339881 41.650658),83,SHELBY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-37445700071,2021-06-12,2644,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501.0,POINT(-94.177165 42.508344),94,WEBSTER,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-52143200043,2022-10-17,2561,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POINT(-93.644943 41.542748),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-25949900005,2020-03-17,3722,WAL-MART 1361 / SIOUX CITY,3400 SINGING HILLS BLVD,SIOUX CITY,51106.0,POINT(-96.36432 42.43609),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-53049100033,2022-11-15,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT(-90.48373 41.55236),,SCOTT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-59841500001,2023-06-29,2558,HY-VEE FOOD STORE (1433) / MOUNT PLEASANT,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT(-91.529627969 40.960826008),,HENRY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-26249600009,2020-04-01,2585,HY-VEE WINE AND SPIRITS / ALGONA,1502 HIGHWAY 169 N SUITE 1,ALGONA,50511.0,POINT(-94.235955 43.08091),55,KOSSUTH,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10836,CROWN ROYAL BLACK,12,750,17.5,26.25,24,612.0,18.0,4.75
INV-27817400002,2020-06-08,3563,WAL-MART 0559 / MUSCATINE,3003 NORTH HWY 61,MUSCATINE,52761.0,POINT(-91.025913 41.45529),70,MUSCATINE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-33169800071,2021-01-04,2561,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321.0,POINT(-93.644943 41.542748),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-31653200003,2020-11-04,3626,WAL-MART 2714 / SPENCER,500  11TH ST,SPENCER,51301.0,POINT(-95.152474 43.126816),21,CLAY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-58203300005,2023-05-05,4271,FAREWAY STORES #827 / CENTERVILLE,305 S 18TH ST,CENTERVILLE,52544.0,POINT(-92.86694897 40.7311460190001),,APPANOOSE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-54376500140,2022-12-27,2544,HY-VEE FOOD STORE (1403) / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT(-92.91279 42.03909),,MARSHALL,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-40564100035,2021-09-30,4202,FAREWAY STORES #829 / SIOUX CITY,4267 SERGEANT RD,SIOUX CITY,51106.0,POINT(-96.354307 42.449933),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-33874900039,2021-01-29,2636,HY-VEE WINE AND SPIRITS / HUBBELL,2310 HUBBELL AVE,DES MOINES,50317.0,POINT(-93.573845 41.604312),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-32936200043,2020-12-22,3707,TARGET STORE T-1768 / CEDAR RAPIDS,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402.0,POINT(-91.649625 42.035157),57,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-31410800010,2020-10-27,4229,FAREWAY STORES #790 / HARLAN,1910  23RD ST,HARLAN,51537.0,POINT(-95.339845 41.650132),83,SHELBY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-22750400002,2019-10-23,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT(-95.825137 41.242732),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-53132700010,2022-11-17,2582,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,POINT(-93.17116 43.14639),,CERRO GORDO,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-27307300125,2020-05-18,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-20109500004,2019-06-20,4105,FAREWAY STORES #426 / NEVADA,1505 SOUTH B AVE,NEVADA,50201,POINT(-93.439899 42.009797),85,STORY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-21678300012,2019-09-04,4146,FAREWAY STORES #561 / WAVERLY,220 W BREMER AVE,WAVERLY,50677,POINT(-92.473476 42.725748),9,BREMER,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11586,BLACK VELVET RESERVE,12,750,7.0,10.5,24,252.0,18.0,4.75
INV-48521400037,2022-06-21,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158,POINT(-92.908013 42.050162),64,MARSHALL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-23280700008,2019-11-16,4811,CASEY'S GENERAL STORE #1327 / LOVILIA,1807 HWY 5 S,LOVILIA,50150,POINT(-92.906673 41.135611),68,MONROE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-52290100003,2022-10-20,5552,CASEY'S GENERAL STORE #2905 / AMES,3612 STANGE RD,AMES,50010,POINT(-93.644937 42.056564),,STORY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-17995600026,2019-03-07,5530,YESWAY #1148 / MARSHALLTOWN,1701 IOWA AVE E,MARSHALLTOWN,50158,POINT(-92.88592 42.006852),64,MARSHALL,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-56530000006,2023-03-09,5595,GIT-N-GO #47 / ALTOONA,101 8TH ST W,ALTOONA,50009,POINT(-93.46507 41.64458),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18.0,4.75
INV-45459400021,2022-03-10,5859,LIQUOR TOBACCO & GROCERY - MASON CITY,18 NORTH MONROE AVENUE,MASON CITY,50401.0,POINT(-93.208614 43.152301),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-46719200001,2022-04-21,6005,CASEY'S GENERAL STORE #2865 / CEDAR FALLS,5908 NORDIC DR,CEDAR FALLS,50613,POINT(-92.44761 42.484581),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-48666000014,2022-06-24,4824,CASEY'S GENERAL STORE #3852 / CRESTON,107 W TAYLOR ST,CRESTON,50801,POINT(-94.362115 41.049213),88,UNION,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-57381600002,2023-04-10,5647,YESWAY #1169 / STORM LAKE,1101 LAKE AVE,STORM LAKE,50588.0,POINT(-95.200323041 42.651255006),,BUENA VISTA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18.0,4.75
INV-48822800005,2022-06-30,4757,EZ MART / BONDURANT,1111 SE LINCOLN STREET,BONDURANT,50035,POINT(-93.45708 41.692543),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-32517100007,2020-12-08,5823,CASEY'S GENERAL STORE #2431 / SIOUX CENTER,8 7TH ST NE,SIOUX CENTER,51250.0,POINT(-96.175411 43.084309),84,SIOUX,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-44896300015,2022-02-18,5479,CASEY'S GENERAL STORE #3534 / CLERMONT,74 MILL STREET,CLERMONT,52135.0,POINT(-91.659241 42.996807),33,FAYETTE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-49176300001,2022-07-13,5628,SUPER CONVENIENCE STORE,2547 2ND AVENUE,COUNCIL BLUFFS,51501,POINT(-95.883943 41.259792),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-46195800007,2022-04-05,5772,CASEY'S GENERAL STORE #1062 / WINTERSET,527 W SUMMIT ST,WINTERSET,50273,POINT(-94.020703 41.330237),61,MADISON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
